section,strategy,target,dataset,guard,aspect,prefix,metric,value,n
coverage,2505.13527v2,llama-3.1-8b,ALL,gptoss_safeguard,target,target,complete,4319,
coverage,2505.13527v2,llama-3.1-8b,ALL,gptoss_safeguard,target,target,unknown,6,
coverage,2505.13527v2,llama-3.1-8b,ALL,gptoss_safeguard,vanilla,vanilla,complete,4317,
gj_per_target,2505.13527v2,llama-3.1-8b,do-not-answer,gptoss_safeguard,strict_gj,target,rate,0.002130,939
gj_per_target,2505.13527v2,llama-3.1-8b,do-not-answer,gptoss_safeguard,strict_gj,vanilla,rate,0.002130,939
gj_per_target,2505.13527v2,llama-3.1-8b,AdvBench,gptoss_safeguard,strict_gj,target,rate,0.000000,520
gj_per_target,2505.13527v2,llama-3.1-8b,AdvBench,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,520
gj_per_target,2505.13527v2,llama-3.1-8b,JBB-Behaviors,gptoss_safeguard,strict_gj,target,rate,0.002000,500
gj_per_target,2505.13527v2,llama-3.1-8b,JBB-Behaviors,gptoss_safeguard,strict_gj,vanilla,rate,0.012000,500
gj_per_target,2505.13527v2,llama-3.1-8b,HarmBench,gptoss_safeguard,strict_gj,target,rate,0.002500,400
gj_per_target,2505.13527v2,llama-3.1-8b,HarmBench,gptoss_safeguard,strict_gj,vanilla,rate,0.165829,398
gj_per_target,2505.13527v2,llama-3.1-8b,HarmfulQA,gptoss_safeguard,strict_gj,target,rate,0.001020,1960
gj_per_target,2505.13527v2,llama-3.1-8b,HarmfulQA,gptoss_safeguard,strict_gj,vanilla,rate,0.003061,1960
gj_per_target,2505.13527v2,llama-3.1-8b,ALL,gptoss_safeguard,strict_gj,target,rate,0.001389,4319
gj_per_target,2505.13527v2,llama-3.1-8b,ALL,gptoss_safeguard,strict_gj,vanilla,rate,0.018531,4317
coverage,2505.13527v2,gemma-3-4b,ALL,gptoss_safeguard,target,target,items,4319,
coverage,2505.13527v2,gemma-3-4b,ALL,gptoss_safeguard,target,target,complete,4319,
coverage,2505.13527v2,gemma-3-4b,ALL,gptoss_safeguard,target,target,unknown,15,
coverage,2505.13527v2,gemma-3-4b,ALL,gptoss_safeguard,vanilla,vanilla,complete,4317,
gj_per_target,2505.13527v2,gemma-3-4b,do-not-answer,gptoss_safeguard,strict_gj,target,rate,0.000000,939
gj_per_target,2505.13527v2,gemma-3-4b,do-not-answer,gptoss_safeguard,strict_gj,vanilla,rate,0.002130,939
gj_per_target,2505.13527v2,gemma-3-4b,AdvBench,gptoss_safeguard,strict_gj,target,rate,0.000000,520
gj_per_target,2505.13527v2,gemma-3-4b,AdvBench,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,520
gj_per_target,2505.13527v2,gemma-3-4b,JBB-Behaviors,gptoss_safeguard,strict_gj,target,rate,0.000000,500
gj_per_target,2505.13527v2,gemma-3-4b,JBB-Behaviors,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,500
gj_per_target,2505.13527v2,gemma-3-4b,HarmBench,gptoss_safeguard,strict_gj,target,rate,0.032500,400
gj_per_target,2505.13527v2,gemma-3-4b,HarmBench,gptoss_safeguard,strict_gj,vanilla,rate,0.148241,398
gj_per_target,2505.13527v2,gemma-3-4b,HarmfulQA,gptoss_safeguard,strict_gj,target,rate,0.000000,1960
gj_per_target,2505.13527v2,gemma-3-4b,HarmfulQA,gptoss_safeguard,strict_gj,vanilla,rate,0.001020,1960
gj_per_target,2505.13527v2,gemma-3-4b,ALL,gptoss_safeguard,strict_gj,target,rate,0.003010,4319
gj_per_target,2505.13527v2,gemma-3-4b,ALL,gptoss_safeguard,strict_gj,vanilla,rate,0.014593,4317
coverage,2505.13527v2,qwen-2.5-7b,ALL,gptoss_safeguard,target,target,items,4319,
coverage,2505.13527v2,qwen-2.5-7b,ALL,gptoss_safeguard,target,target,complete,4319,
coverage,2505.13527v2,qwen-2.5-7b,ALL,gptoss_safeguard,target,target,unknown,7,
coverage,2505.13527v2,qwen-2.5-7b,ALL,gptoss_safeguard,vanilla,vanilla,complete,4317,
gj_per_target,2505.13527v2,qwen-2.5-7b,do-not-answer,gptoss_safeguard,strict_gj,target,rate,0.006390,939
gj_per_target,2505.13527v2,qwen-2.5-7b,do-not-answer,gptoss_safeguard,strict_gj,vanilla,rate,0.001065,939
gj_per_target,2505.13527v2,qwen-2.5-7b,AdvBench,gptoss_safeguard,strict_gj,target,rate,0.003846,520
gj_per_target,2505.13527v2,qwen-2.5-7b,AdvBench,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,520
gj_per_target,2505.13527v2,qwen-2.5-7b,JBB-Behaviors,gptoss_safeguard,strict_gj,target,rate,0.004000,500
gj_per_target,2505.13527v2,qwen-2.5-7b,JBB-Behaviors,gptoss_safeguard,strict_gj,vanilla,rate,0.014000,500
gj_per_target,2505.13527v2,qwen-2.5-7b,HarmBench,gptoss_safeguard,strict_gj,target,rate,0.010000,400
gj_per_target,2505.13527v2,qwen-2.5-7b,HarmBench,gptoss_safeguard,strict_gj,vanilla,rate,0.128141,398
